sample,date
SRR28912802,2024-04-09
SRR28912801,2024-04-09
SRR28912798,2024-04-10
SRR28981000,2024-04-23
SRR28980999,2024-04-23
SRR28980998,2024-04-23
SRR28980997,2024-04-23
SRR28980996,2024-04-23
SRR28980995,2024-04-23
SRR28980993,2024-04-23
SRR28980992,2024-04-23
SRR28980991,2024-04-23
SRR28980990,2024-04-23
SRR29040271,2024-04-29
SRR29040270,2024-04-29
SRR29040269,2024-04-29
SRR29040296,2024-04-29
SRR29040295,2024-04-29
SRR29040294,2024-04-29
SRR29040293,2024-04-29
SRR29040292,2024-04-29
SRR29040291,2024-04-29
SRR29040290,2024-04-29
SRR29040289,2024-04-29
SRR29281467,2024-05-16
SRR29281466,2024-05-16
SRR29281465,2024-05-16
SRR29281444,2024-05-17
SRR29281443,2024-05-17
SRR29281442,2024-05-17
SRR29281441,2024-05-17
SRR29281440,2024-05-17
SRR29281439,2024-05-17
SRR29281437,2024-05-17
SRR29377900,2024-05-21
SRR29377899,2024-05-21
SRR30811315,2024-09-03
SRR30811314,2024-09-03
SRR30811313,2024-09-03
SRR30811312,2024-09-03
SRR30811311,2024-09-03
SRR30811310,2024-09-03
SRR30811309,2024-09-03
SRR30811308,2024-09-03
SRR30811269,2024-09-09
SRR30811268,2024-09-09
SRR30811267,2024-09-10
SRR30811266,2024-09-10
SRR30811265,2024-09-10
SRR30932420,2024-09-16
SRR31016589,2024-09-16
SRR31016555,2024-09-16
SRR31016548,2024-09-26
SRR31016547,2024-09-26
SRR31016546,2024-09-26
SRR31062748,2024-10-03
SRR31062747,2024-10-03
SRR31062746,2024-10-03
SRR31062745,2024-10-08
SRR31254375,2024-10-10
SRR31254374,2024-10-10
SRR31254373,2024-10-10
SRR31347725,2024-10-28
SRR30932715,2024-09-11
SRR30932418,2024-09-17
SRR30932711,2024-09-18
SRR30932748,2024-09-17
SRR30932746,2024-09-18
SRR30932745,2024-09-18
SRR30932740,2024-09-18
SRR30932726,2024-09-25
SRR30932725,2024-09-25
SRR30932724,2024-09-25
SRR30932723,2024-09-25
SRR31016585,2024-09-17
SRR31016584,2024-09-17
SRR31016583,2024-09-17
SRR31016582,2024-09-17
SRR31016581,2024-09-17
SRR31016580,2024-09-17
SRR31016579,2024-09-17
SRR31016578,2024-09-17
SRR31016576,2024-09-17
SRR31016575,2024-09-17
SRR31016574,2024-09-22
SRR31016573,2024-09-22
SRR31016572,2024-09-22
SRR31016571,2024-09-24
SRR31016570,2024-09-24
SRR31016569,2024-09-23
SRR31016568,2024-09-23
SRR31016567,2024-09-23
SRR31016564,2024-09-17
SRR31016563,2024-09-27
SRR31016562,2024-09-27
SRR31016561,2024-09-26
SRR31016560,2024-09-25
SRR31016559,2024-09-25
SRR31016558,2024-09-18
SRR31016557,2024-09-25
SRR31016551,2024-09-26
SRR31016550,2024-09-26
SRR31016549,2024-09-26
SRR31016541,2024-09-29
SRR31016540,2024-09-30
SRR31016539,2024-10-01
SRR31016538,2024-10-01
SRR31016537,2024-10-01
SRR31016536,2024-09-30
SRR31016535,2024-09-30
SRR31016534,2024-09-30
SRR31016532,2024-10-01
SRR31016531,2024-10-01
SRR31016530,2024-10-01
SRR31016529,2024-09-30
SRR31016527,2024-09-30
SRR31016526,2024-09-30
SRR31016525,2024-09-30
SRR31016524,2024-09-30
SRR31168531,2024-10-01
SRR31168527,2024-09-30
SRR31168526,2024-09-30
SRR31168525,2024-09-30
SRR31062742,2024-10-02
SRR31062728,2024-10-02
SRR31062727,2024-10-02
SRR31168547,2024-10-05
SRR31168544,2024-10-08
SRR31168536,2024-10-03
SRR31168535,2024-10-03
SRR31062737,2024-10-08
SRR31062733,2024-09-29
SRR31168533,2024-10-06
SRR31254365,2024-10-15
SRR31254364,2024-10-15
SRR31254362,2024-10-17
SRR31254361,2024-10-17
SRR31254357,2024-10-15
SRR31254356,2024-10-15
SRR31254354,2024-10-15
SRR31254353,2024-10-15
SRR31254352,2024-10-17
SRR31254351,2024-10-17
SRR31254313,2024-10-14
SRR31254303,2024-10-18
SRR31254302,2024-10-18
SRR31254285,2024-10-14
SRR31254284,2024-10-14
SRR31254283,2024-10-14
SRR31347657,2024-10-15
SRR31347656,2024-10-15
SRR31347655,2024-10-15
SRR31347654,2024-10-15
SRR31254327,2024-10-22
SRR31347717,2024-10-21
SRR31347669,2024-10-21
SRR31347667,2024-10-21
SRR31347666,2024-10-21
SRR31347740,2024-10-21
SRR31347732,2024-10-21
SRR31597299,2024-10-28
SRR31597298,2024-10-28
SRR31597297,2024-10-28
SRR31597133,2024-10-21
SRR31597132,2024-10-21
SRR31605056,2024-10-31
SRR31605196,2024-11-13
SRR31821128,2024-11-18
SRR31821127,2024-11-20
SRR31820794,2024-11-29
SRR31820888,2024-11-20
SRR31821214,2024-12-04
SRR31821203,2024-12-04
SRR31821126,2024-12-04
SRR31821115,2024-12-04
SRR31821104,2024-12-04
SRR31820997,2024-12-04
SRR31820986,2024-12-04
SRR31820975,2024-12-04
SRR31820868,2024-12-04
SRR31820857,2024-12-04
SRR31820846,2024-12-04
SRR31821091,2024-12-04
SRR31821079,2024-12-04
SRR31821068,2024-12-05
SRR31821185,2024-12-05
SRR31821174,2024-12-05
SRR31821163,2024-12-04
SRR31820960,2024-12-04
SRR31820949,2024-12-04
SRR31820938,2024-12-04
SRR31820831,2024-12-04
SRR31820820,2024-12-04
SRR31821064,2024-12-04
SRR31821053,2024-12-04
SRR31821042,2024-12-04
SRR31821159,2024-12-04
SRR31821148,2024-12-02
SRR31821137,2024-12-04
SRR31820934,2024-12-04
SRR31820923,2024-12-04
SRR31820912,2024-12-04
SRR31820805,2024-12-04
SRR31820793,2024-12-04
SRR31821226,2024-12-04
SRR31821027,2024-12-04
SRR31821016,2024-12-04
SRR31821005,2024-12-04
SRR31820904,2024-12-04
SRR31820903,2024-12-04
SRR31820902,2024-12-04
SRR31820901,2024-12-04
SRR31820900,2024-12-04
SRR31820898,2024-12-04
SRR31820897,2024-12-04
SRR31820896,2024-12-04
SRR31820895,2024-12-03
SRR31820894,2024-12-03
SRR31820893,2024-12-03
SRR31820892,2024-12-04
SRR31820889,2024-12-04
SRR31820887,2024-12-04
SRR31820886,2024-12-04
SRR31820885,2024-12-04
SRR31820884,2024-12-02
SRR31820883,2024-12-04
SRR31820882,2024-12-04
SRR31820881,2024-12-04
SRR31820880,2024-12-04
SRR31820879,2024-12-04
SRR31820878,2024-12-04
SRR31820876,2024-12-04
SRR31820875,2024-12-04
SRR31820874,2024-12-04
SRR31820873,2024-12-04
SRR31821220,2024-12-04
SRR31821219,2024-12-04
SRR31821218,2024-12-04
SRR31821217,2024-12-04
SRR31821216,2024-12-04
SRR31821215,2024-12-04
SRR31821213,2024-12-04
SRR31821212,2024-12-04
SRR31821211,2024-12-04
SRR31821210,2024-12-04
SRR31821209,2024-12-04
SRR31821208,2024-12-04
SRR31821207,2024-12-04
SRR31821206,2024-12-04
SRR31821205,2024-12-04
SRR31821204,2024-12-04
SRR31821202,2024-12-04
SRR31821201,2024-12-04
SRR31821200,2024-12-04
SRR31821199,2024-12-04
SRR31821198,2024-12-04
SRR31821197,2024-12-04
SRR31821196,2024-12-04
SRR31821195,2024-12-04
SRR31821194,2024-12-04
SRR31821193,2024-12-04
SRR31821125,2024-12-04
SRR31821124,2024-12-04
SRR31821123,2024-12-04
SRR31821122,2024-12-04
SRR31821121,2024-12-04
SRR31821120,2024-12-04
SRR31821119,2024-12-04
SRR31821118,2024-12-03
SRR31821117,2024-12-04
SRR31821116,2024-12-04
SRR31821114,2024-12-04
SRR31821113,2024-12-04
SRR31821112,2024-12-04
SRR31821111,2024-12-03
SRR31821110,2024-12-03
SRR31821109,2024-12-04
SRR31821108,2024-12-03
SRR31821107,2024-12-03
SRR31821106,2024-12-03
SRR31821105,2024-12-03
SRR31821103,2024-12-03
SRR31821102,2024-12-03
SRR31821101,2024-12-03
SRR31821100,2024-12-03
SRR31821099,2024-12-03
SRR31821098,2024-12-03
SRR31821097,2024-12-03
SRR31821000,2024-12-03
SRR31820999,2024-12-03
SRR31820998,2024-12-03
SRR31820996,2024-12-03
SRR31820995,2024-12-03
SRR31820994,2024-12-03
SRR31820993,2024-12-03
SRR31820992,2024-12-03
SRR31820991,2024-12-03
SRR31820990,2024-12-03
SRR31820989,2024-12-03
SRR31820988,2024-12-03
SRR31820987,2024-12-03
SRR31820985,2024-12-03
SRR31820984,2024-12-03
SRR31820983,2024-12-03
SRR31820982,2024-12-04
SRR31820981,2024-12-04
SRR31820980,2024-12-04
SRR31820979,2024-12-04
SRR31820978,2024-12-04
SRR31820977,2024-12-04
SRR31820974,2024-12-05
SRR31820973,2024-12-05
SRR31820972,2024-12-05
SRR31820971,2024-12-05
SRR31820970,2024-12-05
SRR31820969,2024-12-05
SRR31820872,2024-12-03
SRR31820871,2024-12-03
SRR31820870,2024-12-03
SRR31820869,2024-12-03
SRR31820867,2024-12-03
SRR31820866,2024-12-03
SRR31820865,2024-12-03
SRR31820864,2024-12-03
SRR31820863,2024-12-03
SRR31820862,2024-12-03
SRR31820861,2024-12-03
SRR31820860,2024-12-03
SRR31820859,2024-12-03
SRR31820858,2024-12-03
SRR31820856,2024-12-03
SRR31820855,2024-12-03
SRR31820854,2024-12-03
SRR31820853,2024-12-03
SRR31820852,2024-12-03
SRR31820851,2024-12-03
SRR31820850,2024-12-03
SRR31820849,2024-12-03
SRR31820848,2024-12-03
SRR31820847,2024-12-03
SRR31820845,2024-12-05
SRR31820844,2024-12-05
SRR31820843,2024-12-03
SRR31820841,2024-12-03
SRR31821096,2024-12-03
SRR31821095,2024-12-03
SRR31821094,2024-12-03
SRR31821093,2024-12-03
SRR31821092,2024-12-03
SRR31821090,2024-12-03
SRR31821089,2024-12-03
SRR31821088,2024-12-03
SRR31821087,2024-12-03
SRR31821086,2024-12-03
SRR31821085,2024-12-03
SRR31821084,2024-12-03
SRR31821083,2024-12-03
SRR31821082,2024-12-03
SRR31821081,2024-12-03
SRR31821078,2024-12-03
SRR31821077,2024-11-20
SRR31821073,2024-12-03
SRR31821072,2024-12-03
SRR31821071,2024-12-03
SRR31821070,2024-12-03
SRR31821069,2024-11-26
SRR31821067,2024-11-26
SRR31821066,2024-11-26
SRR31821065,2024-11-27
SRR31821192,2024-11-27
SRR31821191,2024-11-27
SRR31821179,2024-11-30
SRR31821178,2024-12-03
SRR31821177,2024-12-03
SRR31821176,2024-12-02
SRR31821175,2024-12-02
SRR31821173,2024-12-02
SRR31821172,2024-12-02
SRR31821171,2024-12-02
SRR31821170,2024-12-02
SRR31821169,2024-12-01
SRR31821168,2024-12-01
SRR31821167,2024-11-29
SRR31821166,2024-11-29
SRR31821165,2024-11-30
SRR31821164,2024-11-30
SRR31821162,2024-11-30
SRR31821161,2024-11-30
SRR31820968,2024-11-30
SRR31820967,2024-11-29
SRR31820966,2024-11-29
SRR31820965,2024-11-29
SRR31820964,2024-11-27
SRR31820963,2024-12-02
SRR31820962,2024-12-02
SRR31820961,2024-12-05
SRR31820959,2024-11-26
SRR31820958,2024-11-28
SRR31820955,2024-10-30
SRR31820954,2024-10-30
SRR31820953,2024-10-30
SRR31820952,2024-12-09
SRR31820951,2024-12-09
SRR31820950,2024-12-09
SRR31820948,2024-12-09
SRR31820947,2024-12-09
SRR31820946,2024-12-09
SRR31820945,2024-12-09
SRR31820944,2024-12-09
SRR31820943,2024-12-09
SRR31820942,2024-12-09
SRR31820941,2024-12-09
SRR31820940,2024-12-09
SRR31820939,2024-12-10
SRR31820937,2024-12-10
SRR31820840,2024-12-10
SRR31820839,2024-12-10
SRR31820838,2024-12-10
SRR31820837,2024-12-10
SRR31820836,2024-12-10
SRR31820835,2024-12-10
SRR31820834,2024-12-10
SRR31820833,2024-12-10
SRR31820832,2024-12-10
SRR31820830,2024-12-10
SRR31820829,2024-12-10
SRR31820828,2024-12-10
SRR31820827,2024-12-10
SRR31820826,2024-12-10
SRR31820825,2024-12-10
SRR31820824,2024-12-10
SRR31820823,2024-12-10
SRR31820822,2024-12-10
SRR31820821,2024-12-10
SRR31820819,2024-12-10
SRR31820818,2024-12-10
SRR31820817,2024-12-10
SRR31820816,2024-12-10
SRR31820815,2024-12-10
SRR31820814,2024-12-10
SRR31820813,2024-11-26
SRR31820812,2024-11-26
SRR31820811,2024-11-26
SRR31820810,2024-11-25
SRR31821059,2024-12-02
SRR31821058,2024-12-02
SRR31821057,2024-12-02
SRR31821056,2024-12-02
SRR31821055,2024-12-02
SRR31821054,2024-12-02
SRR31821052,2024-12-04
SRR31821051,2024-12-04
SRR31821050,2024-12-04
SRR31821049,2024-12-03
SRR31821048,2024-12-04
SRR31821047,2024-12-04
SRR31821046,2024-12-04
SRR31821045,2024-12-04
SRR31821044,2024-12-04
SRR31821043,2024-11-28
SRR31821041,2024-11-28
SRR31821136,2024-12-04
SRR31821135,2024-12-04
SRR31821134,2024-12-04
SRR31821002,2024-12-06
SRR31820906,2024-12-06
SRR31820905,2024-12-06
SRR31820808,2024-12-06
SRR31820807,2024-12-06
SRR31820806,2024-12-06
SRR31820804,2024-12-06
SRR31820803,2024-12-06
SRR31820802,2024-12-06
SRR31820801,2024-12-06
SRR31820800,2024-12-06
SRR31820799,2024-12-06
SRR31820798,2024-12-06
SRR31820797,2024-12-06
SRR31820796,2024-12-06
SRR31820795,2024-12-06
SRR31821236,2024-12-06
SRR31821235,2024-12-06
SRR31821234,2024-12-06
SRR31821233,2024-12-06
SRR31821232,2024-12-06
SRR31821231,2024-12-06
SRR31821230,2024-12-06
SRR31821229,2024-12-06
SRR31821228,2024-12-06
SRR31821227,2024-12-06
SRR31821225,2024-12-06
SRR31821224,2024-12-06
SRR31821223,2024-12-06
SRR31821222,2024-12-06
SRR31821221,2024-12-06
SRR31821032,2024-12-06
SRR31821031,2024-12-06
SRR31821030,2024-12-06
SRR31821029,2024-12-06
SRR31821028,2024-12-06
SRR31821026,2024-12-06
SRR31821025,2024-12-06
SRR31821024,2024-12-06
SRR31821023,2024-12-06
SRR31821022,2024-12-06
SRR31821021,2024-12-06
SRR31821020,2024-12-06
SRR31821019,2024-12-06
SRR31821018,2024-12-06
SRR31821017,2024-12-06
SRR31821015,2024-12-06
SRR31821014,2024-12-06
SRR31821013,2024-12-06
SRR31821012,2024-12-06
SRR31821011,2024-12-06
SRR31821010,2024-12-06
SRR31821009,2024-12-06
SRR31821008,2024-12-06
SRR31820877,2024-12-04
SRR29455632,2024-04-30
