strain	date	data_source	genbank_accession	sra_accessions
A/cattle/ID/24-013710-004-original/2024	2024-05-07	genbank	PQ051370	
A/cattle/ID/24-013710-005-original/2024	2024-05-07	genbank	PQ051378	
A/cattle/ID/24-013710-006-original/2024	2024-05-07	genbank	PQ051386	
A/cattle/ID/24-013710-007-original/2024	2024-05-07	genbank	PQ051394	
A/cattle/ID/24-013710-008-original/2024	2024-05-07	genbank	PQ051402	
A/cattle/ID/24-013710-009-original/2024	2024-05-07	genbank	PQ051410	
A/cattle/TX/24-013270-001-original/2024	2024-04-30	genbank	PQ051482	
A/cattle/IA/24-016252-001-original/2024	2024-06-03	genbank	PQ051490	SRR29377840
A/cattle/IA/24-016252-002-original/2024	2024-06-03	genbank	PQ051498	SRR29377838
A/cattle/IA/24-016252-003-original/2024	2024-06-03	genbank	PQ051506	SRR29377837
A/cattle/IA/24-016252-005-original/2024	2024-06-03	genbank	PQ051514	SRR29377836
A/cattle/IA/24-016252-006-original/2024	2024-06-03	genbank	PQ051522	SRR29377835
A/cattle/IA/24-016252-008-original/2024	2024-06-03	genbank	PQ051530	SRR29377834
A/cattle/IA/24-016252-010-original/2024	2024-06-03	genbank	PQ051538	SRR29377833
A/cattle/ID/24-014336-001-original/2024	2024-05-13	genbank	PQ051546	
A/cattle/ID/24-014336-002-original/2024	2024-05-13	genbank	PQ051554	
A/cattle/ID/24-014336-003-original/2024	2024-05-13	genbank	PQ051562	
A/cattle/ID/24-014336-004-original/2024	2024-05-13	genbank	PQ051570	
A/cattle/ID/24-014336-006-original/2024	2024-05-13	genbank	PQ051578	
A/cattle/ID/24-014336-007-original/2024	2024-05-13	genbank	PQ051586	
A/cattle/ID/24-014336-008-original/2024	2024-05-13	genbank	PQ051594	
A/cattle/ID/24-014336-010-original/2024	2024-05-13	genbank	PQ051602	
A/cattle/ID/24-014336-011-original/2024	2024-05-13	genbank	PQ051610	
A/cattle/ID/24-014336-012-original/2024	2024-05-13	genbank	PQ051618	
A/cattle/ID/24-014336-013-original/2024	2024-05-13	genbank	PQ051626	
A/cattle/ID/24-014336-014-original/2024	2024-05-13	genbank	PQ051634	
A/cattle/ID/24-014338-002-original/2024	2024-05-12	genbank	PQ051642	SRR29281431
A/cattle/ID/24-014338-003-original/2024	2024-05-12	genbank	PQ051650	SRR29281430
A/cattle/ID/24-014338-004-original/2024	2024-05-12	genbank	PQ051658	SRR29281429
A/cattle/ID/24-014338-005-original/2024	2024-05-12	genbank	PQ051666	SRR29281428
A/cattle/ID/24-014338-006-original/2024	2024-05-12	genbank	PQ051674	SRR29281427
A/cattle/ID/24-014338-007-original/2024	2024-05-12	genbank	PQ051682	SRR29281470
A/cattle/ID/24-014338-008-original/2024	2024-05-12	genbank	PQ051690	SRR29281469
A/cattle/ID/24-014338-009-original/2024	2024-05-12	genbank	PQ051698	SRR29281468
A/cattle/ID/24-014767-003-original/2024	2024-05-17	genbank	PQ051706	
A/cattle/ID/24-015195-001-original/2024	2024-05-19	genbank	PQ051714	SRR29377828
A/cattle/ID/24-015195-002-original/2024	2024-05-19	genbank	PQ051722	SRR29377915
A/cattle/ID/24-015195-003-original/2024	2024-05-19	genbank	PQ051730	SRR29377914
A/cattle/ID/24-015195-004-original/2024	2024-05-19	genbank	PQ051738	SRR29377913
A/cattle/ID/24-015196-002-original/2024	2024-05-20	genbank	PQ051746	SRR29377912
A/cattle/ID/24-015196-003-original/2024	2024-05-20	genbank	PQ051754	SRR29377911
A/cattle/ID/24-015196-005-original/2024	2024-05-20	genbank	PQ051762	SRR29377910
A/cattle/ID/24-015196-006-original/2024	2024-05-20	genbank	PQ051770	SRR29377909
A/cattle/ID/24-015196-008-original/2024	2024-05-20	genbank	PQ051778	SRR29377908
A/cattle/ID/24-015196-009-original/2024	2024-05-20	genbank	PQ051786	SRR29377907
A/cattle/ID/24-015196-010-original/2024	2024-05-20	genbank	PQ051794	SRR29377906
A/cattle/ID/24-015196-011-original/2024	2024-05-20	genbank	PQ051802	SRR29377904
A/cattle/ID/24-015196-012-original/2024	2024-05-20	genbank	PQ051810	SRR29377903
A/cattle/ID/24-015196-013-original/2024	2024-05-20	genbank	PQ051818	SRR29377902
A/cattle/ID/24-015196-014-original/2024	2024-05-20	genbank	PQ051826	SRR29377901
A/cattle/ID/24-015670-001-original/2024	2024-05-24	genbank	PQ051834	SRR29377871
A/cattle/ID/24-015675-001-original/2024	2024-05-24	genbank	PQ051842	SRR29377870
A/cattle/ID/24-015675-002-original/2024	2024-05-24	genbank	PQ051850	SRR29377869
A/cattle/ID/24-015675-004-original/2024	2024-05-24	genbank	PQ051858	SRR29377868
A/cattle/ID/24-015676-001-original/2024	2024-05-27	genbank	PQ051866	SRR29377867
A/cattle/ID/24-015676-002-original/2024	2024-05-27	genbank	PQ051874	SRR29377866
A/cattle/ID/24-015676-003-original/2024	2024-05-27	genbank	PQ051882	SRR29377865
A/cattle/ID/24-015978-001-original/2024	2024-05-28	genbank	PQ051890	SRR29455628
A/cattle/ID/24-015978-002-original/2024	2024-05-28	genbank	PQ051898	SRR29455627
A/cattle/ID/24-015978-003-original/2024	2024-05-28	genbank	PQ051906	SRR29455626
A/cattle/ID/24-015978-004-original/2024	2024-05-28	genbank	PQ051914	SRR29455625
A/cattle/ID/24-016437-040-original/2024	2024-05-30	genbank	PQ051922	SRR29455584
A/cattle/ID/24-016437-041-original/2024	2024-05-30	genbank	PQ051930	SRR29455583
A/cattle/MN/24-016288-001-original/2024	2024-06-03	genbank	PQ051938	SRR29377832
A/cattle/MN/24-016288-002-original/2024	2024-06-03	genbank	PQ051946	SRR29377831
A/cattle/MN/24-016288-003-original/2024	2024-06-03	genbank	PQ051954	SRR29377830
A/cattle/MN/24-016288-004-original/2024	2024-06-03	genbank	PQ051962	SRR29377829
A/cattle/MN/24-016288-006-original/2024	2024-06-03	genbank	PQ051970	SRR29377827
A/cattle/MN/24-016288-007-original/2024	2024-06-03	genbank	PQ051978	SRR29377826
A/cattle/MN/24-016288-008-original/2024	2024-06-03	genbank	PQ051986	SRR29377825
A/cattle/MN/24-016288-010-original/2024	2024-06-03	genbank	PQ051994	SRR29377824
A/cattle/MN/24-016288-011-original/2024	2024-06-03	genbank	PQ052002	SRR29377823
A/cattle/MN/24-016288-012-original/2024	2024-06-03	genbank	PQ052010	SRR29455594
A/cattle/MN/24-016288-013-original/2024	2024-06-03	genbank	PQ052018	SRR29377822
A/cattle/MN/24-016288-014-original/2024	2024-06-03	genbank	PQ052026	SRR29377821
A/cattle/MN/24-016288-015-original/2024	2024-06-03	genbank	PQ052034	SRR29377820
A/cattle/MN/24-016370-019-original/2024	2024-06-04	genbank	PQ052042	SRR29455588
A/cattle/MN/24-016370-020-original/2024	2024-06-04	genbank	PQ052050	SRR29455587
A/cattle/MN/24-016370-021-original/2024	2024-06-04	genbank	PQ052058	SRR29455586
A/cattle/MN/24-016370-022-original/2024	2024-06-04	genbank	PQ052066	SRR29455585
A/cattle/MN/24-016511-001-original/2024	2024-06-03	genbank	PQ052074	SRR29455582
A/cattle/MN/24-016511-002-original/2024	2024-06-03	genbank	PQ052082	SRR29455581
A/cattle/MN/24-016511-003-original/2024	2024-06-03	genbank	PQ052090	SRR29455579
A/cattle/MN/24-016511-005-original/2024	2024-06-03	genbank	PQ052098	SRR29455578
A/cattle/MN/24-016511-006-original/2024	2024-06-03	genbank	PQ052106	SRR29455577
A/cattle/MN/24-016523-001-original/2024	2024-06-04	genbank	PQ052114	SRR29455576
A/cattle/MN/24-016523-002-original/2024	2024-06-04	genbank	PQ052122	SRR29455575
A/cattle/TX/24-012457-001-original/2024	2024-04-20	genbank	PQ052130	SRR28980989
A/cattle/TX/24-012457-002-original/2024	2024-04-20	genbank	PQ052138	SRR28980988
A/cattle/TX/24-015973-007-original/2024	2024-05-24	genbank	PQ052146	SRR29455635
A/cattle/TX/24-015973-008-original/2024	2024-05-24	genbank	PQ052154	SRR29455624
A/cattle/TX/24-015973-009-original/2024	2024-05-24	genbank	PQ052162	SRR29455613
A/cattle/TX/24-015973-012-original/2024	2024-05-24	genbank	PQ052170	SRR29455602
A/cattle/TX/24-015973-014-original/2024	2024-05-24	genbank	PQ052178	SRR29455591
A/cattle/TX/24-015973-017-original/2024	2024-05-24	genbank	PQ052186	SRR29455580
A/cattle/TX/24-015973-018-original/2024	2024-05-24	genbank	PQ052194	SRR29455574
A/cattle/TX/24-015973-021-original/2024	2024-05-24	genbank	PQ052202	SRR29455573
A/cattle/TX/24-015973-026-original/2024	2024-05-24	genbank	PQ052210	SRR29455645
A/cattle/TX/24-015973-027-original/2024	2024-05-24	genbank	PQ052218	SRR29455644
A/cattle/TX/24-015973-028-original/2024	2024-05-24	genbank	PQ052226	SRR29455643
A/cattle/TX/24-015973-029-original/2024	2024-05-24	genbank	PQ052234	SRR29455642
A/cattle/TX/24-015973-034-original/2024	2024-05-24	genbank	PQ052242	SRR29455641
A/cattle/TX/24-015975-002-original/2024	2024-04-30	genbank	PQ052250	SRR29455640
A/cattle/TX/24-015975-003-original/2024	2024-04-30	genbank	PQ052258	SRR29455639
A/cattle/TX/24-015975-005-original/2024	2024-04-30	genbank	PQ052266	SRR29455638
A/cattle/TX/24-015975-007-original/2024	2024-04-30	genbank	PQ052274	SRR29455637
A/cattle/TX/24-015975-008-original/2024	2024-04-30	genbank	PQ052282	SRR29455636
A/cattle/TX/24-015975-009-original/2024	2024-04-30	genbank	PQ052290	SRR29455634
A/cattle/TX/24-015975-010-original/2024	2024-04-30	genbank	PQ052298	SRR29455633
A/cattle/TX/24-015975-016-original/2024	2024-04-30	genbank	PQ052306	SRR29455631
A/cattle/TX/24-015975-017-original/2024	2024-04-30	genbank	PQ052314	SRR29455630
A/cattle/TX/24-015975-019-original/2024	2024-04-30	genbank	PQ052322	SRR29455629
A/cattle/TX/24-016191-001-original/2024	2024-05-28	genbank	PQ052330	SRR29455595
A/cattle/TX/24-016337-001-original/2024	2024-05-28	genbank	PQ052338	SRR29455592
A/cattle/TX/24-016337-002-original/2024	2024-05-28	genbank	PQ052346	SRR29455590
A/cattle/TX/24-016337-003-original/2024	2024-05-28	genbank	PQ052354	SRR29455589
A/cattle/WY/24-016134-002-original/2024	2024-04-29	genbank	PQ052362	SRR29455623
A/cattle/WY/24-016134-003-original/2024	2024-04-29	genbank	PQ052370	SRR29455622
A/cattle/WY/24-016134-006-original/2024	2024-04-29	genbank	PQ052378	SRR29455621
A/cattle/WY/24-016134-011-original/2024	2024-04-29	genbank	PQ052386	SRR29455620
A/cattle/WY/24-016134-026-original/2024	2024-04-29	genbank	PQ052394	SRR29455619
A/cattle/WY/24-016134-027-original/2024	2024-04-29	genbank	PQ052402	SRR29455618
A/cattle/WY/24-016134-035-original/2024	2024-04-29	genbank	PQ052410	SRR29455617
A/cattle/WY/24-016134-047-original/2024	2024-04-29	genbank	PQ052418	SRR29455616
A/cattle/WY/24-016134-049-original/2024	2024-04-29	genbank	PQ052426	SRR29455615
A/cattle/WY/24-016134-054-original/2024	2024-04-29	genbank	PQ052434	SRR29455614
A/cattle/WY/24-016134-060-original/2024	2024-04-29	genbank	PQ052442	SRR29455612
A/cattle/WY/24-016134-061-original/2024	2024-04-29	genbank	PQ052450	SRR29455611
A/cattle/WY/24-016134-062-original/2024	2024-04-29	genbank	PQ052458	SRR29455610
A/cattle/WY/24-016134-063-original/2024	2024-04-29	genbank	PQ052466	SRR29455609
A/cattle/WY/24-016134-066-original/2024	2024-04-29	genbank	PQ052474	SRR29455608
A/cattle/WY/24-016134-067-original/2024	2024-04-29	genbank	PQ052482	SRR29455607
A/cattle/WY/24-016134-071-original/2024	2024-04-29	genbank	PQ052490	SRR29455606
A/cattle/WY/24-016134-072-original/2024	2024-04-29	genbank	PQ052498	SRR29455605
A/cattle/WY/24-016134-073-original/2024	2024-04-29	genbank	PQ052506	SRR29455604
A/cattle/WY/24-016134-074-original/2024	2024-04-29	genbank	PQ052514	SRR29455603
A/cattle/WY/24-016134-075-original/2024	2024-04-29	genbank	PQ052522	SRR29455601
A/cattle/WY/24-016134-076-original/2024	2024-04-29	genbank	PQ052530	SRR29455600
A/cattle/WY/24-016134-077-original/2024	2024-04-29	genbank	PQ052538	SRR29455599
A/cattle/WY/24-016134-078-original/2024	2024-04-29	genbank	PQ052546	SRR29455598
A/cattle/WY/24-016134-079-original/2024	2024-04-29	genbank	PQ052554	SRR29455597
A/cattle/WY/24-016134-080-original/2024	2024-04-29	genbank	PQ052562	SRR29455596
A/cattle/WY/24-016134-222-original/2024	2024-04-29	genbank	PQ052570	SRR29377860
A/cattle/WY/24-016134-223-original/2024	2024-04-29	genbank	PQ052578	SRR29377859
A/cattle/WY/24-016134-225-original/2024	2024-04-29	genbank	PQ052586	SRR29377858
A/cattle/WY/24-016134-226-original/2024	2024-04-29	genbank	PQ052594	SRR29377857
A/cattle/WY/24-016134-229-original/2024	2024-04-29	genbank	PQ052602	SRR29377856
A/cattle/WY/24-016134-231-original/2024	2024-04-29	genbank	PQ052610	SRR29377855
A/cattle/WY/24-016134-232-original/2024	2024-04-29	genbank	PQ052618	SRR29377854
A/cattle/WY/24-016134-233-original/2024	2024-04-29	genbank	PQ052626	SRR29377853
A/cattle/WY/24-016134-234-original/2024	2024-04-29	genbank	PQ052634	SRR29377852
A/cattle/WY/24-016134-235-original/2024	2024-04-29	genbank	PQ052642	SRR29377851
A/cattle/WY/24-016134-238-original/2024	2024-04-29	genbank	PQ052650	SRR29377849
A/cattle/WY/24-016134-242-original/2024	2024-04-29	genbank	PQ052658	SRR29377848
A/cattle/WY/24-016134-243-original/2024	2024-04-29	genbank	PQ052666	SRR29377847
A/cattle/WY/24-016134-244-original/2024	2024-04-29	genbank	PQ052674	SRR29377846
A/cattle/WY/24-016134-247-original/2024	2024-04-29	genbank	PQ052682	SRR29377845
A/cattle/WY/24-016134-252-original/2024	2024-04-29	genbank	PQ052690	SRR29377844
A/cattle/WY/24-016134-253-original/2024	2024-04-29	genbank	PQ052698	SRR29377843
A/cattle/WY/24-016134-259-original/2024	2024-04-29	genbank	PQ052706	SRR29377842
A/cattle/WY/24-016134-261-original/2024	2024-04-29	genbank	PQ052714	SRR29377841
A/bovine/NewMexico/A240920343-105/2024	2024-04-04	genbank	PQ067965	
A/bovine/NewMexico/A240920343-108/2024	2024-04-04	genbank	PQ067966	
A/bovine/NewMexico/A240920343-115/2024	2024-04-04	genbank	PQ067967	
A/bovine/NewMexico/A240920343-119/2024	2024-04-04	genbank	PQ067968	
A/bovine/NewMexico/A240920343-90/2024	2024-04-04	genbank	PQ067969	
A/bovine/NewMexico/A240920343-93/2024	2024-04-04	genbank	PQ067970	
A/bovine/NewMexico/A240920343-96/2024	2024-04-04	genbank	PQ067971	
A/bovine/NewMexico/A240920343-99/2024	2024-04-04	genbank	PQ067972	
A/dairycow/Kansas/SM-3/2024	2024-04-29	genbank	PQ075947	
A/cattle/CO/24-016671-005-original/2024	2024-06-06	genbank	PQ109383	SRR29543307
A/cattle/IA/24-016622-001-original/2024	2024-06-06	genbank	PQ109391	SRR29543309
A/cattle/ID/24-016437-003-original/2024	2024-05-30	genbank	PQ109399	SRR29543361
A/cattle/ID/24-016437-004-original/2024	2024-05-30	genbank	PQ109407	SRR29543360
A/cattle/ID/24-016437-005-original/2024	2024-05-30	genbank	PQ109415	SRR29543359
A/cattle/ID/24-016437-007-original/2024	2024-05-30	genbank	PQ109423	SRR29543357
A/cattle/ID/24-016437-008-original/2024	2024-05-30	genbank	PQ109431	SRR29543356
A/cattle/ID/24-016437-009-original/2024	2024-05-30	genbank	PQ109439	SRR29543355
A/cattle/ID/24-016437-010-original/2024	2024-05-30	genbank	PQ109447	SRR29543354
A/cattle/ID/24-016437-011-original/2024	2024-05-30	genbank	PQ109455	SRR29543353
A/cattle/ID/24-016437-014-original/2024	2024-05-30	genbank	PQ109463	SRR29543352
A/cattle/ID/24-016437-017-original/2024	2024-05-30	genbank	PQ109471	SRR29543351
A/cattle/ID/24-016437-019-original/2024	2024-05-30	genbank	PQ109479	SRR29543350
A/cattle/ID/24-016437-020-original/2024	2024-05-30	genbank	PQ109487	SRR29543349
A/cattle/ID/24-016437-021-original/2024	2024-05-30	genbank	PQ109495	SRR29543348
A/cattle/ID/24-016437-022-original/2024	2024-05-30	genbank	PQ109503	SRR29543346
A/cattle/ID/24-016437-023-original/2024	2024-05-30	genbank	PQ109511	SRR29543345
A/cattle/ID/24-016437-029-original/2024	2024-05-30	genbank	PQ109519	SRR29543344
A/cattle/ID/24-016437-031-original/2024	2024-05-30	genbank	PQ109527	SRR29543343
A/cattle/ID/24-016437-032-original/2024	2024-05-30	genbank	PQ109535	SRR29543342
A/cattle/ID/24-016437-034-original/2024	2024-05-30	genbank	PQ109543	SRR29543341
A/cattle/ID/24-016437-037-original/2024	2024-05-30	genbank	PQ109551	SRR29543340
A/cattle/ID/24-016567-001-original/2024	2024-06-03	genbank	PQ109559	SRR29543310
A/cattle/ID/24-016688-001-original/2024	2024-06-06	genbank	PQ109567	SRR29543300
A/cattle/ID/24-016688-003-original/2024	2024-06-06	genbank	PQ109575	SRR29543299
A/cattle/ID/24-016688-006-original/2024	2024-06-06	genbank	PQ109583	SRR29543298
A/cattle/SD/24-014510-003-original/2024	2024-05-14	genbank	PQ109591	
A/cattle/SD/24-014510-007-original/2024	2024-05-14	genbank	PQ109599	
A/cattle/SD/24-015059-001-original/2024	2024-05-21	genbank	PQ109607	SRR29281435
A/cattle/SD/24-015059-002-original/2024	2024-05-21	genbank	PQ109615	SRR29281434
A/cattle/SD/24-015059-003-original/2024	2024-05-21	genbank	PQ109623	SRR29281433
A/cattle/SD/24-015059-004-original/2024	2024-05-21	genbank	PQ109631	SRR29281432
A/cattle/SD/24-015643-002-original/2024	2024-05-22	genbank	PQ109639	SRR29377877
A/cattle/SD/24-015643-004-original/2024	2024-05-22	genbank	PQ109647	SRR29377876
A/cattle/SD/24-015643-005-original/2024	2024-05-22	genbank	PQ109655	SRR29377875
A/cattle/SD/24-015643-006-original/2024	2024-05-22	genbank	PQ109663	SRR29377874
A/cattle/SD/24-015643-007-original/2024	2024-05-22	genbank	PQ109671	SRR29377873
A/cattle/TX/24-015837-002-original-repeat2/2024	2024-04-08	genbank	PQ109679	SRR29543378
A/cattle/TX/24-016681-002-original/2024	2024-06-04	genbank	PQ109687	SRR29543306
A/cattle/TX/24-016681-004-original/2024	2024-06-04	genbank	PQ109695	SRR29543305
A/cattle/IA/24-017583-001-original/2024	2024-06-11	genbank	PQ135269	SRR29694526
A/cattle/IA/24-017584-003-original/2024	2024-06-15	genbank	PQ135277	SRR29694483
A/cattle/IA/24-017584-004-original/2024	2024-06-15	genbank	PQ135285	SRR29694482
A/cattle/IA/24-017584-005-original/2024	2024-06-15	genbank	PQ135293	SRR29694481
A/cattle/IA/24-017584-006-original/2024	2024-06-15	genbank	PQ135301	SRR29694480
A/cattle/IA/24-017584-009-original/2024	2024-06-15	genbank	PQ135309	SRR29694479
A/cattle/IA/24-017584-010-original/2024	2024-06-15	genbank	PQ135317	SRR29694478
A/cattle/IA/24-017584-011-original/2024	2024-06-15	genbank	PQ135325	SRR29694477
A/cattle/IA/24-017584-012-original/2024	2024-06-15	genbank	PQ135333	SRR29694476
A/cattle/IA/24-017584-013-original/2024	2024-06-15	genbank	PQ135341	SRR29694559
A/cattle/IA/24-017584-014-original/2024	2024-06-15	genbank	PQ135349	SRR29694558
A/cattle/IA/24-017584-016-original/2024	2024-06-15	genbank	PQ135357	SRR29694525
A/cattle/IA/24-017584-017-original/2024	2024-06-15	genbank	PQ135365	SRR29694524
A/cattle/IA/24-017584-018-original/2024	2024-06-15	genbank	PQ135373	SRR29694523
A/cattle/IA/24-017584-019-original/2024	2024-06-15	genbank	PQ135381	SRR29694557
A/cattle/IA/24-017584-020-original/2024	2024-06-15	genbank	PQ135389	SRR29694556
A/cattle/ID/24-017478-001-original/2024	2024-06-06	genbank	PQ135397	SRR29694565
A/cattle/ID/24-017478-002-original/2024	2024-06-06	genbank	PQ135405	SRR29694564
A/cattle/ID/24-017478-005-original/2024	2024-06-06	genbank	PQ135413	SRR29694563
A/cattle/ID/24-017483-001-original/2024	2024-06-11	genbank	PQ135421	SRR29694561
A/cattle/ID/24-017483-002-original/2024	2024-06-11	genbank	PQ135429	SRR29694560
A/cattle/ID/24-017483-003-original/2024	2024-06-11	genbank	PQ135437	SRR29694538
A/cattle/ID/24-017489-002-original/2024	2024-06-10	genbank	PQ135445	SRR29694531
A/cattle/MN/24-016370-002-original/2024	2024-06-04	genbank	PQ135453	SRR29543374
A/cattle/MN/24-016370-003-original/2024	2024-06-04	genbank	PQ135461	SRR29543373
A/cattle/MN/24-016370-004-original/2024	2024-06-04	genbank	PQ135469	SRR29543372
A/cattle/MN/24-016370-005-original/2024	2024-06-04	genbank	PQ135477	SRR29543371
A/cattle/MN/24-016370-007-original/2024	2024-06-04	genbank	PQ135485	SRR29543370
A/cattle/MN/24-016370-008-original/2024	2024-06-04	genbank	PQ135493	SRR29543368
A/cattle/MN/24-016370-009-original/2024	2024-06-04	genbank	PQ135501	SRR29543367
A/cattle/MN/24-016370-010-original/2024	2024-06-04	genbank	PQ135509	SRR29543366
A/cattle/MN/24-016370-011-original/2024	2024-06-04	genbank	PQ135517	SRR29543365
A/cattle/MN/24-016370-012-original/2024	2024-06-04	genbank	PQ135525	SRR29543364
A/cattle/MN/24-016370-013-original/2024	2024-06-04	genbank	PQ135533	SRR29543363
A/cattle/MN/24-016370-014-original/2024	2024-06-04	genbank	PQ135541	SRR29543362
A/cattle/MN/24-016523-003-original/2024	2024-06-04	genbank	PQ135549	SRR29543339
A/cattle/MN/24-016523-004-original/2024	2024-06-04	genbank	PQ135557	SRR29543338
A/cattle/MN/24-016523-005-original/2024	2024-06-04	genbank	PQ135565	SRR29543337
A/cattle/MN/24-016523-006-original/2024	2024-06-04	genbank	PQ135573	SRR29543335
A/cattle/MN/24-016523-007-original/2024	2024-06-04	genbank	PQ135581	SRR29543334
A/cattle/MN/24-016523-008-original/2024	2024-06-04	genbank	PQ135589	SRR29543333
A/cattle/MN/24-016523-009-original/2024	2024-06-04	genbank	PQ135597	SRR29543332
A/cattle/MN/24-016523-010-original/2024	2024-06-04	genbank	PQ135605	SRR29543331
A/cattle/MN/24-016523-011-original/2024	2024-06-04	genbank	PQ135613	SRR29543330
A/cattle/MN/24-016523-012-original/2024	2024-06-04	genbank	PQ135621	SRR29543329
A/cattle/MN/24-016523-013-original/2024	2024-06-04	genbank	PQ135629	SRR29543328
A/cattle/MN/24-016523-014-original/2024	2024-06-04	genbank	PQ135637	SRR29543327
A/cattle/MN/24-016523-015-original/2024	2024-06-04	genbank	PQ135645	SRR29543326
A/cattle/MN/24-016523-016-original/2024	2024-06-04	genbank	PQ135653	SRR29543324
A/cattle/MN/24-016523-018-original/2024	2024-06-04	genbank	PQ135661	SRR29543323
A/cattle/MN/24-016523-019-original/2024	2024-06-04	genbank	PQ135669	SRR29543322
A/cattle/MN/24-016523-020-original/2024	2024-06-04	genbank	PQ135677	SRR29543321
A/cattle/MN/24-016523-021-original/2024	2024-06-04	genbank	PQ135685	SRR29543320
A/cattle/MN/24-016523-022-original/2024	2024-06-04	genbank	PQ135693	SRR29543319
A/cattle/MN/24-016523-023-original/2024	2024-06-04	genbank	PQ135701	SRR29543318
A/cattle/MN/24-016523-024-original/2024	2024-06-04	genbank	PQ135709	SRR29543317
A/cattle/MN/24-016523-025-original/2024	2024-06-04	genbank	PQ135717	SRR29543316
A/cattle/MN/24-016523-026-original/2024	2024-06-04	genbank	PQ135725	SRR29543315
A/cattle/MN/24-016523-027-original/2024	2024-06-04	genbank	PQ135733	SRR29543313
A/cattle/MN/24-016523-028-original/2024	2024-06-04	genbank	PQ135741	SRR29543312
A/cattle/MN/24-016523-029-original/2024	2024-06-04	genbank	PQ135749	SRR29543311
A/cattle/CO/24-017153-001-original/2024	2024-06-11	genbank	PQ168076	SRR29694486
A/cattle/CO/24-017153-003-original/2024	2024-06-11	genbank	PQ168084	SRR29694475
A/cattle/CO/24-017153-007-original/2024	2024-06-11	genbank	PQ168092	SRR29694549
A/cattle/CO/24-017153-009-original/2024	2024-06-11	genbank	PQ168100	SRR29543389
A/cattle/CO/24-017153-011-original/2024	2024-06-11	genbank	PQ168108	SRR29543388
A/cattle/CO/24-017153-014-original/2024	2024-06-11	genbank	PQ168116	SRR29543387
A/cattle/IA/24-018277-001-original/2024	2024-06-19	genbank	PQ168124	SRR29740727
A/cattle/MI/24-011231-001-original/2024	2024-04-12	genbank	PQ168132	SRR28912788
A/cattle/MI/24-011231-002-original/2024	2024-04-12	genbank	PQ168140	SRR28912787
A/cattle/MI/24-011231-003-original/2024	2024-04-12	genbank	PQ168148	SRR28912786
A/cattle/MI/24-011231-004-original/2024	2024-04-12	genbank	PQ168156	SRR28912785
A/cattle/MI/24-011231-006-original/2024	2024-04-12	genbank	PQ168164	SRR28912783
A/cattle/ID/24-016568-001-original-repeat2/2024	2024-06-03	genbank	PQ220672	SRR29953277
A/cattle/MI/24-010661-002-original/2024	2024-04-08	genbank	PQ220680	SRR28912831
A/cattle/MI/24-010661-003-original/2024	2024-04-08	genbank	PQ220688	SRR28912830
A/cattle/MI/24-010661-004-original/2024	2024-04-08	genbank	PQ220696	SRR28912829
A/cattle/MI/24-010661-005-original/2024	2024-04-08	genbank	PQ220704	SRR28912828
A/cattle/MI/24-010661-007-original/2024	2024-04-08	genbank	PQ220712	SRR28912827
A/cattle/MI/24-010661-008-original/2024	2024-04-08	genbank	PQ220720	SRR28912808
A/cattle/MI/24-010661-009-original/2024	2024-04-08	genbank	PQ220728	SRR28912807
A/cattle/MI/24-010661-010-original/2024	2024-04-08	genbank	PQ220736	SRR28912805
A/cattle/MI/24-010661-013-original/2024	2024-04-08	genbank	PQ220744	SRR28912804
A/cattle/MI/24-010661-014-original/2024	2024-04-08	genbank	PQ220752	SRR28912803
A/cattle/MI/24-013393-004-original/2024	2024-04-24	genbank	PQ220760	SRR29182382
A/cattle/SD/24-017898-001-original/2024	2024-05-22	genbank	PQ220768	SRR29694499
A/cattle/SD/24-017898-002-original/2024	2024-05-24	genbank	PQ220776	SRR29694498
A/cattle/TX/24-019890-002-original/2024	2024-07-04	genbank	PQ220784	SRR29953220
A/cattle/TX/24-019890-004-original/2024	2024-07-04	genbank	PQ220792	SRR29953219
A/cattle/TX/24-019890-005-original/2024	2024-07-04	genbank	PQ220800	SRR29953218
A/cattle/TX/24-019890-006-original/2024	2024-07-04	genbank	PQ220808	SRR29953217
A/cattle/TX/24-019890-007-original/2024	2024-07-04	genbank	PQ220816	SRR29953216
A/bovine/Ohio/B24OSU-541/2024	2024-04-05	genbank	PQ249612	
A/cattle/ID/24-015674-002-original-repeat2/2024	2024-05-24	genbank	PQ274774	SRR30090408
A/cattle/MI/24-014883-002-original/2024	2024-05-15	genbank	PQ274782	SRR29281459
A/cattle/MI/24-014883-003-original/2024	2024-05-15	genbank	PQ274790	SRR29281458
A/cattle/MI/24-014883-005-original/2024	2024-05-15	genbank	PQ274798	SRR29281457
A/cattle/MI/24-014883-006-original/2024	2024-05-15	genbank	PQ274806	SRR29281456
A/cattle/NM/24-015840-001-original-repeat2/2024	2024-04-04	genbank	PQ274814	SRR29543377
A/cattle/NM/24-015840-002-original-repeat2/2024	2024-04-04	genbank	PQ274822	SRR29543376
A/cattle/MI/24-012314-001-original/2024	2024-04-24	genbank	PQ288083	SRR28981026
A/cattle/MI/24-012314-002-original/2024	2024-04-24	genbank	PQ288091	SRR28981025
A/cattle/MI/24-012314-003-original/2024	2024-04-24	genbank	PQ288099	SRR28981024
A/cattle/MI/24-013395-001-original/2024	2024-05-03	genbank	PQ288107	SRR29182381
